,state_query,action_result
248,248,"31, 247, 2315, 4315, 4969, 7790, 7843"
249,249,"966, 1113, 1210, 1211, 1320, 3592, 3901, 3902, 3995, 3996, 4715, 5495, 6946, 7105, 7116, 7617, 7718, 7858, 8129, 8414, 8692, 8783, 9390, 9612, 10368, 10654"
250,250,9550
251,251,"1064, 8199, 8420, 9550, 10222, 10337"
252,252,"71, 72, 256, 257, 258, 385, 519, 783, 992, 1020, 1068, 1098, 1246, 1432, 1676, 1737, 1738, 1771, 1896, 2148, 2214, 2363, 2367, 2535, 2571, 2595, 2599, 2792, 2793, 2834, 3583, 3590, 3899, 3915, 4224, 4315, 4468, 4512, 4513, 4517, 4711, 4732, 5035, 5036, 5123, 5253, 5254, 5354, 5393, 5432, 5487, 5746, 6337, 6803, 7127, 7718, 7776, 8206, 8207, 8318, 8387, 8393, 8503, 8518, 8795, 9252, 9440, 9482, 9500, 9505, 9554, 9558, 9615, 9630, 9657, 10363, 10717, 10741, 10841, 10955"
253,253,9550
254,254,"1064, 8199, 8420, 9550, 10222, 10337"
255,255,"71, 72, 256, 257, 258, 385, 519, 783, 992, 1020, 1068, 1098, 1246, 1432, 1676, 1737, 1738, 1771, 1896, 2148, 2214, 2363, 2367, 2535, 2571, 2595, 2599, 2792, 2793, 2834, 3583, 3590, 3899, 3915, 4224, 4315, 4468, 4512, 4513, 4517, 4711, 4732, 5035, 5036, 5123, 5253, 5254, 5354, 5393, 5432, 5487, 5746, 6337, 6803, 7127, 7718, 7776, 8206, 8207, 8318, 8387, 8393, 8503, 8518, 8795, 9252, 9440, 9482, 9500, 9505, 9554, 9558, 9615, 9630, 9657, 10363, 10717, 10741, 10841, 10955"
256,256,9550
257,257,"1064, 8199, 8420, 9550, 10222, 10337"
258,258,"71, 72, 256, 257, 258, 385, 519, 783, 992, 1020, 1068, 1098, 1246, 1432, 1676, 1737, 1738, 1771, 1896, 2148, 2214, 2363, 2367, 2535, 2571, 2595, 2599, 2792, 2793, 2834, 3583, 3590, 3899, 3915, 4224, 4315, 4468, 4512, 4513, 4517, 4711, 4732, 5035, 5036, 5123, 5253, 5254, 5354, 5393, 5432, 5487, 5746, 6337, 6803, 7127, 7718, 7776, 8206, 8207, 8318, 8387, 8393, 8503, 8518, 8795, 9252, 9440, 9482, 9500, 9505, 9554, 9558, 9615, 9630, 9657, 10363, 10717, 10741, 10841, 10955"
259,259,4089
260,260,"385, 1175, 2595, 5354, 5478, 8503, 9169, 9371, 9482, 11288"
261,261,"71, 992, 1474, 1533, 2349, 2428, 2692, 3758, 3759, 4224, 4517, 5123, 5253, 5254, 6780, 6802, 6803, 6934, 7843, 7896, 7900, 7928, 8330, 8331, 8408, 8518, 8852, 9209, 9440, 9653, 9926, 10272, 10841, 11352"
262,262,247
263,263,"247, 10771, 11302"
264,264,"1619, 1782, 2032, 2214, 4495, 8446, 8874, 10082"
265,265,"245, 512, 542, 1104, 1105, 1446, 1474, 1798, 2442, 2460, 2710, 2787, 2792, 2793, 2819, 3493, 3494, 4224, 4711, 4774, 5354, 5393, 5478, 6731, 6754, 6763, 6780, 7306, 7896, 7928, 8090, 8503, 8795, 8852, 9024, 9194, 9482, 9554, 9618, 10741, 11145, 11478"
266,266,"8, 256, 257, 258, 1668, 1737, 2066, 2151, 2692, 2710, 3191, 4826, 5336, 7746, 8795, 8852, 10272, 10421, 10727"
267,267,"215, 244, 267, 2265, 2298, 4946, 7505, 9004, 10509, 11299"
268,268,"207, 208, 2066, 2715, 5100, 6162, 6163, 7029, 7505, 8692, 9164, 9222, 10316, 10717"
269,269,"207, 208, 247, 278, 933, 961, 2715, 4946, 5410"
270,270,"269, 2268"
271,271,"204, 273, 280"
272,272,"269, 4946, 7505"
273,273,"273, 1738, 2442, 2472, 4008, 6780, 7306, 8090, 8503, 8795, 9554, 9618, 9626"
274,274,"512, 527, 1104, 1105, 1175, 2349, 2428, 2460, 3140, 4774, 5026, 5027, 5478, 6615, 8518, 8795, 9204, 9495, 9554, 9626, 10332, 10741, 10820, 10901"
275,275,"207, 208, 247, 1145, 2349, 4315, 11271"
276,276,"244, 247, 961, 1092, 1207, 2648, 3995, 3996, 8942"
277,277,"58, 72, 380, 385, 606, 1145, 1490, 1738, 1815, 1939, 2195, 2216, 2217, 2692, 2710, 2715, 3455, 3978, 5336, 6780, 6990, 7508, 8030, 8156, 8503, 8565, 8795, 9073, 9194, 9222, 9482, 9488, 9489, 9618, 9623, 9624, 9837, 9944, 10332, 10421, 10717, 10718, 11440"
278,278,"244, 247, 10509"
279,279,"273, 1474, 1738, 2066, 2710, 2715, 8503, 8795, 9395, 9396, 9482, 9505, 9618, 10717"
280,280,"273, 280, 630, 2066, 8506, 10316, 10717, 11347"
281,281,"245, 385, 542, 606, 783, 1104, 1105, 1175, 1432, 1474, 1738, 1798, 1896, 2349, 2359, 2428, 3493, 3494, 4299, 5026, 5027, 5393, 7306, 8206, 8207, 8503, 8518, 8795, 9194, 9204, 9265, 9554, 9558, 9568, 9615, 9618, 9621, 9622, 9626, 10717, 11276"
282,282,"207, 208, 244, 1145, 1737, 2066, 2214, 2268, 2328, 2428, 4008, 6003, 7029, 7776, 8280, 8503, 9164, 9482, 9554, 9608"
283,283,"294, 313"
